what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488141560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488216523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488218307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488221366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488223844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488226799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488229464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488238926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488250547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488257652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488262133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424488420792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488957854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488960740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488960825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488961217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488963817
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424488964063
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1424488964544
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1424488964546
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1424488964547
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1424488964548
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1424488964549
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1424488964550
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1424488964552
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1424488964553
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1424488964555
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1424488964556
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1424488964558
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1424488964559
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1424488964561
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1424488964563
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1424488964563
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1424488964568
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1424488964569
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1424488964571
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1424488964573
